theta,threshold,sym_min,sym_max,n_sym,asym_min,asym_max,n_asym,usable_sym,usable_asym
40.0,1.0,-6.999999999999888e-05,6.999999999999888e-05,1,-0.000769999999999999,-6.999999999999888e-05,6,0,1
40.0,2.0,-0.0006300000000000012,0.0006300000000000012,10,-0.0013299999999999987,0.0006300000000000012,15,1,1
40.0,3.0,-0.011270000000000002,0.011270000000000002,162,-0.013930000000000001,0.011270000000000002,181,1,1
50.0,1.0,-0.0004549999999999997,0.0004549999999999997,7,-0.0008450000000000011,0.0004549999999999997,11,1,1
50.0,2.0,-0.010334999999999999,0.010334999999999999,159,-0.012934999999999999,0.010334999999999999,180,1,1
50.0,3.0,-0.010334999999999999,0.010334999999999999,159,-0.012934999999999999,0.010334999999999999,180,1,1
60.0,1.0,-0.00102,0.00102,18,-0.0015000000000000005,0.00102,22,1,1
60.0,2.0,-0.00918,0.00918,154,-0.01194,0.00918,177,1,1
60.0,3.0,-0.00918,0.00918,154,-0.01194,0.00918,177,1,1
