8.899641224696953554e-03	1.326911835269460971e+04
1.507912216506557788e-02	3.465936406138735765e+04
2.144790186456836667e-02	2.598539145538875891e+04
2.783660776489276650e-02	2.039485682208688013e+04
3.435099785803411021e-02	1.896097558008416672e+04
4.047886761425745911e-02	1.512139043774186939e+04
4.676716683575679601e-02	1.361125810923669815e+04
5.308225101765951665e-02	1.278640211271908083e+04
5.945362440940590160e-02	1.055518538892075048e+04
6.576224814588792211e-02	9.675650607954235966e+03
7.196632906698736953e-02	9.544851185858635290e+03
7.827860915688347743e-02	8.438447519356986959e+03
8.470398945834539672e-02	7.735758690182206919e+03
9.096854620527369817e-02	6.403756074773975342e+03
9.720789776830213169e-02	6.011968576711908099e+03
1.034763038959366499e-01	5.462649083840691674e+03
1.097576444254559219e-01	4.978064324568271331e+03
1.160543084780093354e-01	4.783674068449038714e+03
1.223669666537485351e-01	4.515181929088224933e+03
1.286817263090294094e-01	4.256922679021049589e+03
1.349500801664080818e-01	4.061560088131012435e+03
1.411949558842147678e-01	3.855667616068028110e+03
1.475133575747468451e-01	3.608692519553717375e+03
1.537865074252268427e-01	3.332281743373403970e+03
1.600657544051110326e-01	3.137013562808022016e+03
1.663991168687080635e-01	2.883093664753041139e+03
1.727195645776442856e-01	2.786488664272691494e+03
1.789765213377084718e-01	2.694832722868730798e+03
1.852353690647852158e-01	2.636133636037930955e+03
1.914806787341157279e-01	2.489478647877067942e+03
1.977889868651535599e-01	2.367227422401174863e+03
2.040937735447724277e-01	2.307644325464388658e+03
2.103939302609846018e-01	2.169279759430622107e+03
2.166909709822301688e-01	2.080780367670219221e+03
2.229700281216152047e-01	1.998185938729074905e+03
2.292620027086341994e-01	1.906558858832544274e+03
2.355141508366812297e-01	1.860297732799676169e+03
2.417910583817859116e-01	1.850718002920564231e+03
2.480856539439619257e-01	1.727565740597903414e+03
2.543492256872954549e-01	1.706156359738920855e+03
2.606334251884805386e-01	1.629476656029219612e+03
2.669257370896960802e-01	1.607736932609101132e+03
2.732423343141155980e-01	1.577051125063172776e+03
2.795529680084415936e-01	1.503598103344880883e+03
2.858366292314493129e-01	1.474524478845112526e+03
2.920876271394311496e-01	1.437435180519104961e+03
2.983449844439822751e-01	1.389115626030934891e+03
3.046382639407197446e-01	1.358099766095789164e+03
3.109279127003197196e-01	1.325062189092391236e+03
3.172168171618398036e-01	1.304714103025567510e+03
3.235187567944423082e-01	1.260870074712440328e+03
3.298168217550395687e-01	1.244082319653456125e+03
3.361176429457156667e-01	1.203868731503867593e+03
3.423700375709273769e-01	1.169756568379295913e+03
3.486478192666269682e-01	1.144425516465033752e+03
3.549411614411318028e-01	1.138699930752077080e+03
3.611916935421040642e-01	1.110887296034640485e+03
3.674767089563572564e-01	1.105221371370902034e+03
3.737647795277591056e-01	1.066562133840730894e+03
3.800654031475132477e-01	1.058620093008113145e+03
3.863539861259823738e-01	1.038124901433802506e+03
3.926140181364449755e-01	1.014061212853863935e+03
3.989264500321934581e-01	9.919970315170571666e+02
4.052073244576828714e-01	9.758355688436347464e+02
4.114916477570477182e-01	9.766512577578787386e+02
4.177814272116491257e-01	9.574709672051087637e+02
4.240400648725131116e-01	9.355887446254397446e+02
4.303425690270192283e-01	9.228999397564110723e+02
4.366358560255625965e-01	9.168572372788659095e+02
4.428996183220763605e-01	8.884044898868542077e+02
4.491634418529859563e-01	8.888317963606506282e+02
4.554414146254732731e-01	8.644797540173027528e+02
4.617634470301058558e-01	8.533641706171522401e+02
4.680644242023710433e-01	8.372329044329723047e+02
4.743485242764365895e-01	8.277149567419735376e+02
4.806356136815400082e-01	8.213487550031215960e+02
4.869019258388697646e-01	8.111260505544032640e+02
4.931697099599955947e-01	7.970840011762408039e+02
4.994506747144535908e-01	7.929655921379393249e+02
5.057159051335421429e-01	7.828447182776141062e+02
5.119923996268095356e-01	7.679820898073513717e+02
5.183126097768406826e-01	7.590757850685751009e+02
5.246089638029100000e-01	7.512706924537459372e+02
5.308757308483337267e-01	7.398575218776826432e+02
5.371573527946726934e-01	7.300028573620156749e+02
5.434579563783791256e-01	7.238000916121936825e+02
